AWTEventQueue.eventsDispatched,1774267351546000000,1774267411543000000,5782
WriteAction.executionsCount,1774267351546000000,1774267411543000000,17
FlushQueue.tasksExecuted,1774267351546000000,1774267411543000000,1141
FlushQueue.executionTimeMaxNs,1774267351546000000,1774267411543000000,6039797759
FlushQueue.executionTime90PNs,1774267351546000000,1774267411543000000,452607
FlushQueue.waitingTimeMaxNs,1774267351546000000,1774267411543000000,5200936959
ReadAction.executionsCount,1774267351546000000,1774267411543000000,263523
AWTEventQueue.dispatchTime90PNs,1774267351546000000,1774267411543000000,528383
FlushQueue.queueSizeAvg,1774267351546000000,1774267411543000000,4.66783523225241
AWTEventQueue.dispatchTimeTotalNS,1774267351546000000,1774267411543000000,7813261735
FlushQueue.executionTimeAvgNs,1774267351546000000,1774267411543000000,5688877.667835232
AWTEventQueue.dispatchTimeAvgNs,1774267351546000000,1774267411543000000,1353664.9539951575
FileNameCache.totalMisses,1774267351546000000,1774267411543000000,0
VFS.fileByIdCache.misses,1774267351546000000,1774267411543000000,217
VFS.fileChildByName,1774267351546000000,1774267411543000000,18634
VFS.fileByIdCache.hits,1774267351546000000,1774267411543000000,1
FileNameCache.queries,1774267351546000000,1774267411543000000,0
VFS.invertedFileNameIndex.requests,1774267351546000000,1774267411543000000,0
cacheStateStorage.get.counter,1774267351546000000,1774267411543000000,5
cacheStateStorage.set.duration,1774267351546000000,1774267411543000000,3
cacheStateStorage.set.counter,1774267351546000000,1774267411543000000,3
cacheStateStorage.get.duration,1774267351546000000,1774267411543000000,13
workspaceModel.cachedValue.total.get.ms,1774267351546000000,1774267411543000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1774267351546000000,1774267411543000000,0
workspaceModel.cachedValue.clear.ms,1774267351546000000,1774267411543000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1774267351546000000,1774267411543000000,43
workspaceModel.cachedValue.calculated.ms,1774267351546000000,1774267411543000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1774267351546000000,1774267411543000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1774267351546000000,1774267411543000000,2
workspaceModel.loading.total.ms,1774267351546000000,1774267411543000000,0
workspaceModel.updates.count,1774267351546000000,1774267411543000000,0
workspaceModel.full.replace.project.model.ms,1774267351546000000,1774267411543000000,0
